Token	True POS	Predicted POS
.	.	.
owner	NN	NN
doing	VBG	VBG
dispatched	VBN	VBN
president	NN	NN
officials	NNS	NNS
Ralph	NNP	NNP
.	.	.
the	DT	DT
make	VB	VB
million	CD	CD
to	TO	TO
an	DT	DT
executive	JJ	JJ
,	,	,
in	IN	IN
In	IN	IN
to	TO	TO
The	DT	DT
million	CD	CD
in	IN	IN
of	IN	IN
expenses	NNS	NNS
with	IN	IN
to	TO	TO
But	CC	CC
had	VBD	VBD
it	PRP	PRP
an	DT	DT
Ross	NNP	NNP
.	.	.
their	PRP$	PRP$
executive	JJ	JJ
threatened	VBN	VBN
21	CD	CD
$	$	$
of	IN	IN
Los	NNP	NNP
businesses	NNS	NNS
``	``	``
Star	NNP	NNP
extremely	RB	RB
make	VB	VB
Quina	NNP	NNP
payments	NNS	NNS
n't	RB	RB
face	NN	NN
the	DT	DT
lacks	VBZ	NNS
relief	NN	NN
who	WP	WP
of	IN	IN
next	JJ	JJ
with	IN	IN
to	TO	TO
long	JJ	JJ
do	VBP	VBP
insurance	NN	NN
running	VBG	VBG
do-or-die	JJ	VBP
avoid	VB	VB
either	DT	DT
Friday	NNP	NNP
PACS	NNS	NNPS
through	IN	IN
the	DT	DT
levels	NNS	NNS
sale	NN	NN
ambitious	JJ	JJ
was	VBD	VBD
do	VBP	VBP
problem	NN	NN
,	,	,
-LRB-	(	(
wo	MD	MD
1978	CD	CD
and	CC	CC
,	,	,
price	NN	NN
their	PRP$	PRP$
Revenue	NN	NN
In	IN	IN
chief	JJ	JJ
%	NN	NN
has	VBZ	VBZ
for	IN	IN
interest	NN	NN
the	DT	DT
to	TO	TO
also	RB	RB
n't	RB	RB
Justice	NNP	NNP
.	.	.
.	.	.
year	NN	NN
Association	NNP	NNP
by	IN	IN
for	IN	IN
largely	RB	RB
the	DT	DT
Washington	NNP	NNP
the	DT	DT
no	DT	DT
Trelleborg	NNP	NNP
by	IN	IN
away	RB	RB
revenue	NN	NN
to	TO	TO
they	PRP	PRP
beneficiaries	NNS	NNS
is	VBZ	VBZ
based	VBN	VBN
instruments	NNS	NNS
water	NN	NN
continue	VB	VB
of	IN	IN
difficult	JJ	JJ
customs	NNS	NNP
chairman	NN	NN
Jolly	JJ	RB
,	,	,
debts	NNS	NNS
giving	VBG	VBG
is	VBZ	VBZ
but	CC	CC
,	,	,
down	RB	RB
,	,	,
MCA	NNP	NNP
quickly	RB	RB
%	NN	NN
concerns	NNS	NNS
from	IN	IN
's	POS	POS
the	DT	DT
;	:	:
reported	VBD	VBD
about	IN	IN
but	CC	CC
Cincinnati	NNP	NNP
order	NN	NN
Authority	NNP	NN
,	,	,
1960	CD	CD
and	CC	CC
While	IN	IN
the	DT	DT
detectors	NNS	NNS
Hong	NNP	NNP
pared	VBN	VBN
Revenue	NN	NN
into	IN	IN
have	VB	VBP
has	VBZ	VBZ
Pacific	NNP	NNP
out	IN	IN
shaking	VBG	VBG
rose	VBD	VBD
stocks	NNS	NNS
the	DT	DT
reasoned	VBD	VBD
early	JJ	JJ
from	IN	IN
vice	NN	NN
,	,	,
making	VBG	VBG
a	DT	DT
that	IN	IN
since	IN	IN
lengthy	JJ	JJ
,	,	,
jump	VB	NN
a	DT	DT
's	VBZ	POS
a	DT	DT
have	VBP	VBP
fill-or-kill	JJ	JJ
a	DT	DT
''	''	''
Energy	NNP	NN
Traders	NNS	NNS
going	VBG	VBG
cement	NN	NN
at	IN	IN
goal	NN	NN
produces	VBZ	VBZ
regular	JJ	JJ
audience	NN	NN
analysts	NNS	NNS
Department	NNP	NNP
now	RB	RB
''	''	''
million	CD	CD
income	NN	NN
earthquake	NN	NN
trade	NN	NN
year-ago	JJ	JJ
policy	NN	NN
U.S.	NNP	NNP
N.Y.	NNP	NNP
campaigns	NNS	NNS
cigarettes	NNS	NNS
the	DT	DT
debt-ridden	JJ	JJ
More	JJR	JJR
a	DT	DT
prior	RB	RB
.	.	.
as	IN	IN
to	TO	TO
when	WRB	WRB
,	,	,
Wine	NNP	NN
for	IN	IN
again	RB	RB
and	CC	CC
,	,	,
South	NNP	NNP
the	DT	DT
.	.	.
only	RB	RB
as	IN	IN
a	DT	DT
1.1	CD	CD
;	:	:
since	IN	IN
Stock	NNP	NN
political	JJ	JJ
,	,	,
few	JJ	JJ
%	NN	NN
research	NN	NN
,	,	,
or	CC	CC
a	DT	DT
dropped	VBD	VBD
for	IN	IN
next	JJ	JJ
prolonged	VBN	VBN
last	JJ	JJ
,	,	,
in	IN	IN
up	RB	IN
Banco	NNP	NNP
expand	VB	VB
year	NN	NN
the	DT	DT
if	IN	IN
it	PRP	PRP
a	DT	DT
continued	VBD	VBD
doorway	NN	NN
computers	NNS	NNS
,	,	,
or	CC	CC
was	VBD	VBD
or	CC	CC
to	TO	TO
his	PRP$	PRP$
17	CD	CD
to	TO	TO
.	.	.
work	NN	NN
Imagine	VB	VB
of	IN	IN
information	NN	NN
of	IN	IN
White	NNP	NNP
an	DT	DT
airline	NN	NN
Most	JJS	RBS
thought	VBD	VBD
.	.	.
I	PRP	PRP
Group	NNP	NN
turn	VB	VB
insolvent	JJ	JJ
estimates	NNS	NNS
jail	VB	NN
USDA	NNP	NNP
to	TO	TO
the	DT	DT
,	,	,
5,000	CD	CD
,	,	,
heading	VBG	VBG
,	,	,
,	,	,
benefit	NN	NN
plunge	NN	NN
Collectively	RB	RB
Friday	NNP	NNP
With	IN	IN
$	$	$
share	NN	NN
was	VBD	VBD
.	.	.
should	MD	MD
place	NN	NN
the	DT	DT
Saskatchewan	NNP	NNP
now-standard	JJ	JJ
ago	RB	RB
of	IN	IN
billion	CD	CD
the	DT	DT
,	,	,
of	IN	IN
that	IN	IN
even	RB	RB
sale	NN	NN
would	MD	MD
,	,	,
that	WDT	IN
figure	NN	NN
along	IN	IN
Source	NN	NN
Texas	NNP	NNP
shareholders	NNS	NNS
on	IN	IN
called	VBD	VBN
-LRB-	(	(
bridge	NN	NNP
up	IN	IN
78	CD	CD
compare	VBP	VB
involved	VBN	VBN
,	,	,
Sons	NNP	NNP
rate	NN	NN
using	VBG	VBG
PLC	NNP	NNP
minimum	JJ	JJ
hour	NN	NN
Securities	NNP	NNS
when	WRB	WRB
Insitutional	JJ	JJ
all	DT	DT
.	.	.
that	WDT	IN
a	DT	DT
with	IN	IN
initial	JJ	JJ
.	.	.
funds	NNS	NNS
says	VBZ	VBZ
deadlines	NNS	NNS
bribery	NN	NN
